GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj	Chromosome	Start	End	Strand	Feature	Gene name
ENSMUSG00000099093.1	0	NA	NA	NA	NA	NA	chr2	92387383	92387446	-	NA	Mir7000
ENSMUSG00000085293.2	0	NA	NA	NA	NA	NA	chr2	92529693	92540980	-	NA	Gm13817
ENSMUSG00000086980.1	0	NA	NA	NA	NA	NA	chr2	92856166	92913663	-	NA	Gm13791
ENSMUSG00000082700.1	0	NA	NA	NA	NA	NA	chr2	92872886	92873309	-	NA	Gm13792
ENSMUSG00000075028.11	1.17934722481285	-1.50004456198961	1.76185210572919	-0.851402088240988	0.394546032141492	NA	chr2	92965150	93046167	-	NA	Prdm11
ENSMUSG00000087559.1	0	NA	NA	NA	NA	NA	chr2	93085941	93098244	-	NA	Gm13802
ENSMUSG00000027217.13	0.502829103962484	-1.07683860611849	3.38663593721161	-0.317967040474126	0.750509938318941	NA	chr2	93201759	93334505	-	NA	Tspan18
ENSMUSG00000089073.1	0	NA	NA	NA	NA	NA	chr2	93386726	93386829	-	NA	Gm23380
ENSMUSG00000040272.14	1.49218684622163	-0.505616668453289	1.48094185488559	-0.341415611143188	0.732790724390073	NA	chr2	93833466	93849943	-	NA	Accs
ENSMUSG00000075023.11	0	NA	NA	NA	NA	NA	chr2	93855360	93869157	-	NA	Accsl
ENSMUSG00000083009.1	0	NA	NA	NA	NA	NA	chr2	93940298	93940878	-	NA	Gm1335
ENSMUSG00000075020.6	0.502271672254748	-1.07339361685013	3.38956156575736	-0.316676241462602	0.751489278213179	NA	chr2	94160635	94264918	-	NA	Mir670hg
ENSMUSG00000076335.1	0	NA	NA	NA	NA	NA	chr2	94261299	94261399	-	NA	Mir670
ENSMUSG00000093033.1	0	NA	NA	NA	NA	NA	chr2	94184026	94184130	-	NA	Gm23630
ENSMUSG00000065511.1	0	NA	NA	NA	NA	NA	chr2	94241363	94241453	-	NA	Mir129-2
ENSMUSG00000106196.1	0	NA	NA	NA	NA	NA	chr2	94537986	94538069	-	NA	Gm44461
ENSMUSG00000083204.1	0	NA	NA	NA	NA	NA	chr2	94590820	94591421	-	NA	Gm13788
ENSMUSG00000087069.1	0	NA	NA	NA	NA	NA	chr2	94729013	94730738	-	NA	Gm13793
ENSMUSG00000077281.1	0	NA	NA	NA	NA	NA	chr2	94792204	94792336	-	NA	Gm26396
ENSMUSG00000083846.1	0	NA	NA	NA	NA	NA	chr2	95697916	95698036	-	NA	Gm13797
ENSMUSG00000091061.1	0	NA	NA	NA	NA	NA	chr2	96987017	97083561	-	NA	4930445B16Rik
ENSMUSG00000088624.1	0	NA	NA	NA	NA	NA	chr2	97272210	97272339	-	NA	Gm23317
ENSMUSG00000105133.1	0	NA	NA	NA	NA	NA	chr2	97626966	97627052	-	NA	Gm44320
ENSMUSG00000082820.3	1.66374192778643	-0.764664670796557	1.36237616224037	-0.561272790870841	0.574611587322311	NA	chr2	97949190	97949679	-	NA	Gm13803
ENSMUSG00000075014.1	4.72061795442299	-1.50186356793575	0.782273541030179	-1.91987008273084	0.0548743117104772	NA	chr2	98666546	98667301	-	NA	Gm10800
ENSMUSG00000101186.1	0	NA	NA	NA	NA	NA	chr2	99357245	99357729	-	NA	Gm29235
ENSMUSG00000082435.1	0	NA	NA	NA	NA	NA	chr2	100407492	100408279	-	NA	Gm13813
ENSMUSG00000094873.1	0	NA	NA	NA	NA	NA	chr2	100460187	100461534	-	NA	Gm13812
ENSMUSG00000095203.1	0	NA	NA	NA	NA	NA	chr2	100626696	100628043	-	NA	Gm13810
ENSMUSG00000032841.15	0.616618256917873	2.6785434159845	3.03461712640706	0.882662722976146	0.377418528490327	NA	chr2	101714284	101883027	-	NA	Prr5l
ENSMUSG00000048058.17	3.04874507191588	0.937390718194947	1.04003121693083	0.901310175055342	0.367423425293117	NA	chr2	101950202	102186385	-	NA	Ldlrad3
ENSMUSG00000081774.1	0	NA	NA	NA	NA	NA	chr2	102209411	102210379	-	NA	Gm13866
ENSMUSG00000075012.4	0	NA	NA	NA	NA	NA	chr2	102449365	102452499	-	NA	Fjx1
ENSMUSG00000005087.17	5.81042279549956	0.64327854606225	0.674988272753366	0.95302181093937	0.340579019874083	NA	chr2	102811140	102901665	-	NA	Cd44
ENSMUSG00000086957.1	0	NA	NA	NA	NA	NA	chr2	103206208	103210357	-	NA	Gm13869
ENSMUSG00000084385.1	0	NA	NA	NA	NA	NA	chr2	103232537	103232964	-	NA	Gm13873
ENSMUSG00000012350.15	0.483221243803565	0.714757053817657	3.49326423786738	0.204610073887228	0.837876784097642	NA	chr2	103263432	103303278	-	NA	Ehf
ENSMUSG00000087278.1	0	NA	NA	NA	NA	NA	chr2	103338600	103372764	-	NA	A930006I01Rik
ENSMUSG00000102686.1	0	NA	NA	NA	NA	NA	chr2	103361334	103364738	-	NA	Gm37220
ENSMUSG00000070794.11	0	NA	NA	NA	NA	NA	chr2	103377642	103389044	-	NA	BC016548
ENSMUSG00000086687.1	0	NA	NA	NA	NA	NA	chr2	103804451	103810622	-	NA	4930547E08Rik
ENSMUSG00000081348.1	0	NA	NA	NA	NA	NA	chr2	103810885	103811617	-	NA	Gm13878
ENSMUSG00000081010.3	2.45459906103854	0.0125036525232742	1.05526778665968	0.0118487958045729	0.99054624997218	NA	chr2	103819002	103819476	-	NA	Gm13880
ENSMUSG00000083495.1	0	NA	NA	NA	NA	NA	chr2	103837100	103837517	-	NA	Gm13877
ENSMUSG00000082845.1	0	NA	NA	NA	NA	NA	chr2	103843414	103843656	-	NA	Gm13879
ENSMUSG00000076233.1	0	NA	NA	NA	NA	NA	chr2	103843417	103843513	-	NA	Gm22761
ENSMUSG00000075006.2	0	NA	NA	NA	NA	NA	chr2	104068046	104068550	-	NA	Gm10799
ENSMUSG00000068373.14	0	NA	NA	NA	NA	NA	chr2	104143072	104410334	-	NA	D430041D05Rik
ENSMUSG00000089606.1	0	NA	NA	NA	NA	NA	chr2	104228111	104228238	-	NA	Gm22501
ENSMUSG00000082276.1	0	NA	NA	NA	NA	NA	chr2	104583594	104583781	-	NA	Gm13885
ENSMUSG00000074997.3	0	NA	NA	NA	NA	NA	chr2	104713925	104716379	-	NA	Pin1rt1
ENSMUSG00000027171.10	0	NA	NA	NA	NA	NA	chr2	104830740	104849876	-	NA	Prrg4
ENSMUSG00000083487.1	0	NA	NA	NA	NA	NA	chr2	105031865	105032287	-	NA	Gm13888
ENSMUSG00000074987.9	0	NA	NA	NA	NA	NA	chr2	105076537	105126510	-	NA	Wt1os
ENSMUSG00000099166.1	0	NA	NA	NA	NA	NA	chr2	105121791	105122051	-	NA	Gm27715
ENSMUSG00000099243.1	0	NA	NA	NA	NA	NA	chr2	105122187	105122481	-	NA	Gm27538
ENSMUSG00000098946.1	0	NA	NA	NA	NA	NA	chr2	105123061	105123183	-	NA	Gm27636
ENSMUSG00000098459.1	0	NA	NA	NA	NA	NA	chr2	105125221	105125454	-	NA	Gm27308
ENSMUSG00000005973.6	3.98222640483005	-0.666195921512812	0.83753189553321	-0.795427523495906	0.426364854850925	NA	chr2	105386290	105399319	-	NA	Rcn1
ENSMUSG00000086029.7	0	NA	NA	NA	NA	NA	chr2	105536079	105670330	-	NA	Pax6os1
ENSMUSG00000081701.1	0	NA	NA	NA	NA	NA	chr2	105537092	105537482	-	NA	Gm13890
ENSMUSG00000080859.1	0	NA	NA	NA	NA	NA	chr2	105554200	105554845	-	NA	Rpl10-ps1
ENSMUSG00000102424.1	0	NA	NA	NA	NA	NA	chr2	105657861	105660692	-	NA	Paupar
ENSMUSG00000027166.14	2.23859991235664	1.14062067325262	1.15003340158198	0.991815256568713	0.321287653902676	NA	chr2	105966708	106003549	-	NA	Dnajc24
ENSMUSG00000100156.1	0	NA	NA	NA	NA	NA	chr2	106038462	106040496	-	NA	Gm29053
ENSMUSG00000087226.1	0	NA	NA	NA	NA	NA	chr2	106463822	106523103	-	NA	Gm14015
ENSMUSG00000087225.1	0	NA	NA	NA	NA	NA	chr2	106574790	106580840	-	NA	Gm14014
ENSMUSG00000085218.7	0	NA	NA	NA	NA	NA	chr2	106642913	106650364	-	NA	BB218582
ENSMUSG00000084164.1	0	NA	NA	NA	NA	NA	chr2	106926564	106927169	-	NA	Gm13902
ENSMUSG00000027120.6	0	NA	NA	NA	NA	NA	chr2	107056139	107059656	-	NA	Fshb
ENSMUSG00000089408.1	0	NA	NA	NA	NA	NA	chr2	107097205	107097475	-	NA	Gm24885
ENSMUSG00000083181.1	0	NA	NA	NA	NA	NA	chr2	107123767	107123960	-	NA	Gm13903
ENSMUSG00000052005.8	0	NA	NA	NA	NA	NA	chr2	107595629	107600539	-	NA	Gm9864
ENSMUSG00000077480.1	0	NA	NA	NA	NA	NA	chr2	107886507	107886639	-	NA	Gm23439
ENSMUSG00000077411.1	0	NA	NA	NA	NA	NA	chr2	108079911	108080042	-	NA	Gm23749
ENSMUSG00000086758.1	0	NA	NA	NA	NA	NA	chr2	108183715	108291319	-	NA	Gm13912
ENSMUSG00000083590.1	0	NA	NA	NA	NA	NA	chr2	108446456	108447084	-	NA	Gm13916
ENSMUSG00000083347.1	0	NA	NA	NA	NA	NA	chr2	108578129	108578389	-	NA	Gm13913
ENSMUSG00000083697.1	0	NA	NA	NA	NA	NA	chr2	108733211	108734202	-	NA	Gm13914
ENSMUSG00000083424.3	0.15413836827709	0.78128750828036	4.0804728567969	0.191469845701573	0.848157503115296	NA	chr2	108874925	108875258	-	NA	Rpl35a-ps4
ENSMUSG00000057234.9	2.58706041764313	0.557212149381326	1.02942042337128	0.541287249340259	0.588309607653505	NA	chr2	109092296	109280748	-	NA	Mettl15
ENSMUSG00000076987.1	0	NA	NA	NA	NA	NA	chr2	109148588	109148698	-	NA	Gm24115
ENSMUSG00000084167.1	0	NA	NA	NA	NA	NA	chr2	109458247	109458733	-	NA	Gm13924
ENSMUSG00000109604.1	0	NA	NA	NA	NA	NA	chr2	109670907	109676591	-	NA	RP23-393E8.4
ENSMUSG00000083915.1	0	NA	NA	NA	NA	NA	chr2	109791924	109792534	-	NA	Gm13932
ENSMUSG00000063751.6	0	NA	NA	NA	NA	NA	chr2	109902395	109913319	-	NA	Platr8
ENSMUSG00000086186.1	0	NA	NA	NA	NA	NA	chr2	110031249	110050479	-	NA	Ccdc34os
ENSMUSG00000082512.1	0	NA	NA	NA	NA	NA	chr2	110209177	110210165	-	NA	Gm13937
ENSMUSG00000074971.4	0.307341080044466	1.67457934533999	4.03798165135144	0.414707021954778	0.678356391297202	NA	chr2	110360916	110363183	-	NA	Fibin
ENSMUSG00000083320.1	0	NA	NA	NA	NA	NA	chr2	110418169	110419619	-	NA	Gm13935
ENSMUSG00000074970.1	0	NA	NA	NA	NA	NA	chr2	110596428	110596637	-	NA	Gm10794
ENSMUSG00000074968.11	0	NA	NA	NA	NA	NA	chr2	110655200	110950923	-	NA	Ano3
ENSMUSG00000079171.3	0	NA	NA	NA	NA	NA	chr2	111051319	111057574	-	NA	Gm13942
ENSMUSG00000079170.3	0	NA	NA	NA	NA	NA	chr2	111088371	111105982	-	NA	Gm13941
ENSMUSG00000079169.3	0	NA	NA	NA	NA	NA	chr2	111134113	111152936	-	NA	Gm15130
ENSMUSG00000027157.10	0	NA	NA	NA	NA	NA	chr2	111162060	111229602	-	NA	4930430A15Rik
ENSMUSG00000074966.4	0	NA	NA	NA	NA	NA	chr2	111230817	111231837	-	NA	Olfr1275
ENSMUSG00000084933.1	0	NA	NA	NA	NA	NA	chr2	111246130	111256163	-	NA	Gm13962
ENSMUSG00000074965.4	0	NA	NA	NA	NA	NA	chr2	111269426	111270387	-	NA	Olfr1277
ENSMUSG00000096554.1	0	NA	NA	NA	NA	NA	chr2	111335158	111336076	-	NA	Olfr1282
ENSMUSG00000096703.2	0	NA	NA	NA	NA	NA	chr2	111420031	111423112	-	NA	Olfr1286
ENSMUSG00000095809.2	0	NA	NA	NA	NA	NA	chr2	111489217	111493815	-	NA	Olfr1290
ENSMUSG00000094074.1	0	NA	NA	NA	NA	NA	chr2	111508572	111509511	-	NA	Olfr1292-ps1
ENSMUSG00000109547.1	0	NA	NA	NA	NA	NA	chr2	111537348	111540170	-	NA	Olfr1294
ENSMUSG00000108919.1	0	NA	NA	NA	NA	NA	chr2	111564460	111569597	-	NA	Olfr1295
ENSMUSG00000096690.1	0	NA	NA	NA	NA	NA	chr2	111593072	111594011	-	NA	Olfr1296-ps1
ENSMUSG00000094858.2	0	NA	NA	NA	NA	NA	chr2	111621133	111626418	-	NA	Olfr1297
ENSMUSG00000109487.1	0	NA	NA	NA	NA	NA	chr2	111645055	111645995	-	NA	Olfr1298
ENSMUSG00000082091.1	0	NA	NA	NA	NA	NA	chr2	111698722	111698878	-	NA	Gm13922
ENSMUSG00000093804.1	0	NA	NA	NA	NA	NA	chr2	111813785	111814724	-	NA	Olfr1303
ENSMUSG00000109423.1	0	NA	NA	NA	NA	NA	chr2	111823227	111823416	-	NA	Olfr1304-ps1
ENSMUSG00000083059.3	0	NA	NA	NA	NA	NA	chr2	111844261	111851838	-	NA	Olfr268-ps1
ENSMUSG00000074955.1	0	NA	NA	NA	NA	NA	chr2	111872914	111873853	-	NA	Olfr1305
ENSMUSG00000096566.1	0	NA	NA	NA	NA	NA	chr2	111911989	111912928	-	NA	Olfr1306
ENSMUSG00000094747.1	0	NA	NA	NA	NA	NA	chr2	111944515	111945454	-	NA	Olfr1307
ENSMUSG00000074952.2	0	NA	NA	NA	NA	NA	chr2	111960108	111964732	-	NA	Olfr1308
ENSMUSG00000074951.3	0	NA	NA	NA	NA	NA	chr2	111983133	111984096	-	NA	Olfr1309
ENSMUSG00000109528.1	0	NA	NA	NA	NA	NA	chr2	111983133	111984097	-	NA	Olfr1309
ENSMUSG00000108827.1	0	NA	NA	NA	NA	NA	chr2	112008201	112009210	-	NA	Olfr1310
ENSMUSG00000109403.1	0	NA	NA	NA	NA	NA	chr2	112020913	112021854	-	NA	Olfr1311
ENSMUSG00000074947.1	0	NA	NA	NA	NA	NA	chr2	112042076	112043030	-	NA	Olfr1312
ENSMUSG00000074946.4	0	NA	NA	NA	NA	NA	chr2	112071645	112072583	-	NA	Olfr1313
ENSMUSG00000074945.1	0	NA	NA	NA	NA	NA	chr2	112091760	112092699	-	NA	Olfr1314
ENSMUSG00000109033.1	0	NA	NA	NA	NA	NA	chr2	112110311	112111256	-	NA	Olfr1315-ps1
ENSMUSG00000109801.1	0	NA	NA	NA	NA	NA	chr2	112129870	112130815	-	NA	Olfr1316
ENSMUSG00000041358.1	0	NA	NA	NA	NA	NA	chr2	112247947	112259291	-	NA	Nutm1
ENSMUSG00000074939.3	0	NA	NA	NA	NA	NA	chr2	112479170	112480769	-	NA	Chrm5
ENSMUSG00000085448.1	0	NA	NA	NA	NA	NA	chr2	113387106	113441094	-	NA	Gm13963
ENSMUSG00000087545.1	0	NA	NA	NA	NA	NA	chr2	113440680	113442304	-	NA	Gm13966
ENSMUSG00000105821.1	0	NA	NA	NA	NA	NA	chr2	113476707	113476821	-	NA	Gm44465
ENSMUSG00000087106.1	0	NA	NA	NA	NA	NA	chr2	113500678	113504034	-	NA	Gm13964
ENSMUSG00000084798.1	0	NA	NA	NA	NA	NA	chr2	113691052	113708550	-	NA	4930533B01Rik
ENSMUSG00000074934.3	0	NA	NA	NA	NA	NA	chr2	113746163	113758646	-	NA	Grem1
ENSMUSG00000023236.7	0	NA	NA	NA	NA	NA	chr2	113776361	113829121	-	NA	Scg5
ENSMUSG00000041219.14	1.10030732897629	2.30153570924207	2.01608408837312	1.14158716023561	0.253625663567525	NA	chr2	113831491	113848661	-	NA	Arhgap11a
ENSMUSG00000096006.1	0.307808908299323	1.67648683912126	4.03781107979431	0.415196948542391	0.677997732459901	NA	chr2	113919246	113920562	-	NA	Gm21596
ENSMUSG00000068615.4	0	NA	NA	NA	NA	NA	chr2	114009600	114013619	-	NA	Gjd2
ENSMUSG00000068614.7	0	NA	NA	NA	NA	NA	chr2	114047281	114053548	-	NA	Actc1
ENSMUSG00000101266.1	0	NA	NA	NA	NA	NA	chr2	114272173	114273435	-	NA	Gm29234
ENSMUSG00000101448.1	0	NA	NA	NA	NA	NA	chr2	114897915	115220708	-	NA	Gm28494
ENSMUSG00000084222.1	0	NA	NA	NA	NA	NA	chr2	115036418	115037312	-	NA	Gm13973
ENSMUSG00000087309.1	0	NA	NA	NA	NA	NA	chr2	115329263	115344280	-	NA	4930528P14Rik
ENSMUSG00000085582.7	0	NA	NA	NA	NA	NA	chr2	115493512	115527744	-	NA	3110099E03Rik
ENSMUSG00000086735.1	0	NA	NA	NA	NA	NA	chr2	115556785	115581555	-	NA	Gm13977
ENSMUSG00000027210.20	2.37518851266139	1.81758061900353	1.25132096823399	1.4525294989412	0.146354433034056	NA	chr2	115863063	116065839	-	NA	Meis2
ENSMUSG00000086328.1	0	NA	NA	NA	NA	NA	chr2	116066217	116067444	-	NA	2700033N17Rik
ENSMUSG00000103562.1	0	NA	NA	NA	NA	NA	chr2	116075164	116076096	-	NA	2810405F15Rik
ENSMUSG00000081787.1	4.66895259004949	0.74584018110127	0.800038303866634	0.932255590134346	0.351204452714766	NA	chr2	116527842	116528490	-	NA	Gm13991
ENSMUSG00000086462.1	0	NA	NA	NA	NA	NA	chr2	116848098	116877168	-	NA	Gm13990
ENSMUSG00000065794.1	0	NA	NA	NA	NA	NA	chr2	116968038	116968173	-	NA	Gm25514
ENSMUSG00000099470.1	0	NA	NA	NA	NA	NA	chr2	116972574	116976428	-	NA	Gm29340
ENSMUSG00000027347.18	0.698957974986143	-3.03971595114858	2.58601378806908	-1.17544460326264	0.2398168877144	NA	chr2	117279992	117343001	-	NA	Rasgrp1
ENSMUSG00000085681.1	0	NA	NA	NA	NA	NA	chr2	117414391	117417697	-	NA	Gm13982
ENSMUSG00000101394.1	0	NA	NA	NA	NA	NA	chr2	117802116	117803664	-	NA	Gm28183
ENSMUSG00000086203.1	0	NA	NA	NA	NA	NA	chr2	117806677	117812813	-	NA	Gm13985
ENSMUSG00000087203.7	0	NA	NA	NA	NA	NA	chr2	117857290	118111202	-	NA	Gm13986
ENSMUSG00000077359.1	0	NA	NA	NA	NA	NA	chr2	118077804	118077962	-	NA	Gm25308
ENSMUSG00000101859.1	0	NA	NA	NA	NA	NA	chr2	118123450	118124047	-	NA	Gm29233
ENSMUSG00000027344.13	0	NA	NA	NA	NA	NA	chr2	118204887	118256966	-	NA	Fsip1
ENSMUSG00000100046.1	0	NA	NA	NA	NA	NA	chr2	118253254	118279430	-	NA	Gm29232
ENSMUSG00000040133.2	0	NA	NA	NA	NA	NA	chr2	118277109	118373419	-	NA	Gpr176
ENSMUSG00000093368.1	0	NA	NA	NA	NA	NA	chr2	118248688	118248782	-	NA	Gm22800
ENSMUSG00000045339.7	0	NA	NA	NA	NA	NA	chr2	118270232	118276169	-	NA	A930104D05Rik
ENSMUSG00000084028.1	0	NA	NA	NA	NA	NA	chr2	118483312	118484177	-	NA	Gm13983
ENSMUSG00000040093.15	2.23572795421364	1.14213251882588	1.20029649574813	0.95154199222585	0.341329312349102	NA	chr2	118528756	118549687	-	NA	Bmf
ENSMUSG00000078137.1	0	NA	NA	NA	NA	NA	chr2	118699102	118703963	-	NA	Ankrd63
ENSMUSG00000040061.17	0.831527566632008	-0.768679474422462	2.34559131830175	-0.327712448637046	0.743129090086245	NA	chr2	118707516	118728438	-	NA	Plcb2
ENSMUSG00000045838.8	1.79627912752754	0.0827651192926817	1.25268445266618	0.0660702055625635	0.947321931521183	NA	chr2	118754157	118762661	-	NA	A430105I19Rik
ENSMUSG00000086421.1	0	NA	NA	NA	NA	NA	chr2	118829873	118834122	-	NA	Gm14091
ENSMUSG00000039983.13	3.94121659883572	-0.180534488452681	0.803543469673262	-0.224672958298187	0.82223370295583	NA	chr2	119017778	119029393	-	NA	Ccdc32
ENSMUSG00000027317.8	0	NA	NA	NA	NA	NA	chr2	119218118	119229906	-	NA	Ppp1r14d
ENSMUSG00000034226.7	0	NA	NA	NA	NA	NA	chr2	119269200	119271272	-	NA	Rhov
ENSMUSG00000074912.10	0.327416768458242	-0.180485163933271	4.0804728567969	-0.0442314335292377	0.964719926231715	NA	chr2	119321186	119326194	-	NA	Gm14207
ENSMUSG00000082369.1	0	NA	NA	NA	NA	NA	chr2	119508551	119509229	-	NA	Gm14208
ENSMUSG00000048647.9	2.80428266478177	-0.350920096235237	1.01296318694371	-0.346429268860229	0.729020131955872	NA	chr2	119516504	119547627	-	NA	Exd1
ENSMUSG00000072980.3	0.173746228436009	-1.14226584336213	4.0804728567969	-0.279934675085374	0.779527623443297	NA	chr2	119609511	119618469	-	NA	Oip5
ENSMUSG00000082029.1	0	NA	NA	NA	NA	NA	chr2	119665625	119666036	-	NA	H3f3c
ENSMUSG00000064722.1	0	NA	NA	NA	NA	NA	chr2	119740827	119740956	-	NA	Gm25857
ENSMUSG00000027297.14	0.349158563940251	-2.03864735551252	4.03770672571746	-0.504902285876215	0.613627468528956	NA	chr2	119751319	119760431	-	NA	Ltk
ENSMUSG00000065164.1	0	NA	NA	NA	NA	NA	chr2	119793941	119794043	-	NA	Gm23814
ENSMUSG00000081056.1	0	NA	NA	NA	NA	NA	chr2	119878068	119878403	-	NA	Gm13998
ENSMUSG00000087458.1	0	NA	NA	NA	NA	NA	chr2	120024806	120027453	-	NA	Gm13999
ENSMUSG00000074899.4	0	NA	NA	NA	NA	NA	chr2	120046156	120085772	-	NA	Sptbn5
ENSMUSG00000027293.13	5.58205084423152	-0.179715750063845	0.677776377410617	-0.265154933180812	0.790890110717531	NA	chr2	120089174	120154606	-	NA	Ehd4
ENSMUSG00000050211.14	0	NA	NA	NA	NA	NA	chr2	120166411	120245335	-	NA	Pla2g4e
ENSMUSG00000087555.1	0	NA	NA	NA	NA	NA	chr2	120244920	120245598	-	NA	Gm13997
ENSMUSG00000070719.4	0.154170760181847	0.78128750828036	4.0804728567969	0.191469845701573	0.848157503115296	NA	chr2	120265594	120289197	-	NA	Pla2g4d
ENSMUSG00000046971.7	0	NA	NA	NA	NA	NA	chr2	120299956	120314165	-	NA	Pla2g4f
ENSMUSG00000027286.16	7.3092210995703	-0.711198504476055	0.604574271228083	-1.17636250552208	0.239450048006318	NA	chr2	120604237	120609520	-	NA	Lrrc57
ENSMUSG00000023216.13	0	NA	NA	NA	NA	NA	chr2	121017890	121037072	-	NA	Epb42
ENSMUSG00000053675.8	0	NA	NA	NA	NA	NA	chr2	121046110	121085841	-	NA	Tgm5
ENSMUSG00000079103.2	0.173746228436009	-1.14226584336213	4.0804728567969	-0.279934675085374	0.779527623443297	NA	chr2	121093564	121109795	-	NA	Tgm7
ENSMUSG00000087704.1	0	NA	NA	NA	NA	NA	chr2	121293702	121296008	-	NA	Gm14978
ENSMUSG00000033526.16	3.17447141003824	-0.959259565804641	0.930517939021294	-1.03088777290374	0.302593451070985	NA	chr2	121310560	121355396	-	NA	Ppip5k1
ENSMUSG00000033498.14	0	NA	NA	NA	NA	NA	chr2	121363727	121387168	-	NA	Strc
ENSMUSG00000048222.3	4.40317763572849	0.141172159919418	0.766818504974671	0.184101138670462	0.853934113218188	NA	chr2	121460234	121474067	-	NA	Mfap1b
ENSMUSG00000068479.5	5.54374457657361	0.160596905514385	0.669162462121474	0.239996883574786	0.810332672561697	NA	chr2	121491910	121506665	-	NA	Mfap1a
ENSMUSG00000027238.16	0	NA	NA	NA	NA	NA	chr2	121545528	121807087	-	NA	Frmd5
ENSMUSG00000081264.1	0	NA	NA	NA	NA	NA	chr2	121700764	121701725	-	NA	Gm14021
ENSMUSG00000086913.1	0	NA	NA	NA	NA	NA	chr2	121865780	121866717	-	NA	Gm14019
ENSMUSG00000087767.1	0	NA	NA	NA	NA	NA	chr2	121891570	121891684	-	NA	Gm23983
ENSMUSG00000074881.4	0	NA	NA	NA	NA	NA	chr2	121953751	121956092	-	NA	Mageb3
ENSMUSG00000079966.2	0	NA	NA	NA	NA	NA	chr2	122214619	122215354	-	NA	Gm14058
ENSMUSG00000068452.7	0	NA	NA	NA	NA	NA	chr2	122279246	122298165	-	NA	Duox2
ENSMUSG00000027224.14	0	NA	NA	NA	NA	NA	chr2	122302190	122313730	-	NA	Duoxa1
ENSMUSG00000033256.14	2.14462382551137	-0.401633225154456	1.14280245728913	-0.351445888650938	0.725253861028759	NA	chr2	122348891	122369162	-	NA	Shf
ENSMUSG00000088506.1	0	NA	NA	NA	NA	NA	chr2	122385488	122385640	-	NA	Gm24409
ENSMUSG00000081219.1	0	NA	NA	NA	NA	NA	chr2	122466934	122467526	-	NA	Bambi-ps1
ENSMUSG00000085633.1	0	NA	NA	NA	NA	NA	chr2	122733289	122738362	-	NA	Bloc1s6os
ENSMUSG00000085496.1	0	NA	NA	NA	NA	NA	chr2	124123635	124129956	-	NA	4930517E11Rik
ENSMUSG00000086954.1	0	NA	NA	NA	NA	NA	chr2	124217678	124222331	-	NA	4930583P06Rik
ENSMUSG00000027201.16	4.00639853404999	-0.917475927947912	0.849805005419611	-1.07963111784084	0.280306478706039	NA	chr2	125084627	125123661	-	NA	Myef2
ENSMUSG00000087056.1	0	NA	NA	NA	NA	NA	chr2	125124355	125134327	-	NA	Gm14004
ENSMUSG00000086416.1	0	NA	NA	NA	NA	NA	chr2	125207528	125217512	-	NA	Gm14002
ENSMUSG00000087682.1	0	NA	NA	NA	NA	NA	chr2	125282687	125283978	-	NA	Gm14003
ENSMUSG00000027204.13	1.13920342024669	0.237522541080884	1.91169904048287	0.124246827586883	0.901119846404326	NA	chr2	125300593	125507993	-	NA	Fbn1
ENSMUSG00000068394.4	2.21852422394286	1.69220145042588	1.23760871656803	1.36731539441518	0.171526468460188	NA	chr2	125563087	125625113	-	NA	Cep152
ENSMUSG00000035109.14	0	NA	NA	NA	NA	NA	chr2	125627446	125724148	-	NA	Shc4
ENSMUSG00000089480.1	0	NA	NA	NA	NA	NA	chr2	126269071	126269363	-	NA	Gm24739
ENSMUSG00000060131.11	0.789569455790195	1.71397048493563	2.44385836732271	0.701337895785391	0.483092169376833	NA	chr2	126320972	126500674	-	NA	Atp8b4
ENSMUSG00000027360.5	7.67967403240593	1.10046322113821	0.615538611099126	1.78780534851127	0.0738074176729903	NA	chr2	126593666	126619299	-	NA	Hdc
ENSMUSG00000027361.15	4.73480506328479	0.118855153719793	0.730506717813907	0.162702341842215	0.870752803038626	NA	chr2	126627441	126676337	-	NA	Gabpb1
ENSMUSG00000088200.1	0	NA	NA	NA	NA	NA	chr2	126634538	126634687	-	NA	Gm23753
ENSMUSG00000034906.15	0.307341080044466	1.67457934533999	4.03798165135144	0.414707021954778	0.678356391297202	NA	chr2	127103808	127133954	-	NA	Ncaph
ENSMUSG00000074825.4	2.94124969469284	0.1395027357325	0.995209481312761	0.140174243063364	0.888522322017013	NA	chr2	127138771	127143442	-	NA	Itpripl1
ENSMUSG00000103957.1	0	NA	NA	NA	NA	NA	chr2	127269448	127270054	-	NA	Gm10766
ENSMUSG00000079056.12	0.308341520363693	1.67865609977424	4.03761736570585	0.415754131144813	0.677589926410304	NA	chr2	127456497	127522094	-	NA	Kcnip3
ENSMUSG00000084628.1	0	NA	NA	NA	NA	NA	chr2	127473016	127473308	-	NA	Gm22613
ENSMUSG00000027376.15	0	NA	NA	NA	NA	NA	chr2	127526472	127541467	-	NA	Prom2
ENSMUSG00000083648.1	0	NA	NA	NA	NA	NA	chr2	127568576	127569426	-	NA	Gm14229
ENSMUSG00000034800.15	2.78236943945974	-0.0101146606779425	0.997678986205266	-0.0101381915604078	0.991911032047695	NA	chr2	127574661	127587094	-	NA	Zfp661
ENSMUSG00000027375.14	0.173746228436009	-1.14226584336213	4.0804728567969	-0.279934675085374	0.779527623443297	NA	chr2	127633225	127656695	-	NA	Mal
